sent_id	sentence	mention	Llama-3	Mistral	Komodo	Merak
737	Dari nomor ganda putra, Lee Yong Dae/Yoo Yeon Seong (Korsel) memenangi laga final melawan Li Junhui/Liu Yuchen (China).	Yoo Yeon Seong	Yoo Yeon	Yoo Yeon Seong	None	Y
737	Dari nomor ganda putra, Lee Yong Dae/Yoo Yeon Seong (Korsel) memenangi laga final melawan Li Junhui/Liu Yuchen (China).	Korsel	None	Korea Selatan	None	Korea Selatan
737	Dari nomor ganda putra, Lee Yong Dae/Yoo Yeon Seong (Korsel) memenangi laga final melawan Li Junhui/Liu Yuchen (China).	Li Junhui	Li Junhui	Li Junhui	Li Junhui	Li Junhui
737	Dari nomor ganda putra, Lee Yong Dae/Yoo Yeon Seong (Korsel) memenangi laga final melawan Li Junhui/Liu Yuchen (China).	Liu Yuchen	Liu Yuchen	Liu Yuchen	Liu Yuchen	Liu Yuchen
737	Dari nomor ganda putra, Lee Yong Dae/Yoo Yeon Seong (Korsel) memenangi laga final melawan Li Junhui/Liu Yuchen (China).	China	Republik Rakyat Tiongkok	China	China Tiongkok	None
1279	Rencananya rangkaian acara itu akan digelar hari ini, Minggu (13/3) bersama Gubernur DKI Jakarta, Basuki Tjahaja Purnama atau Ahok.	DKI Jakarta	Daerah Khusus Ibukota Jakarta	Rencananya rangkaian acara itu akan	None	DKI Jakarta
1279	Rencananya rangkaian acara itu akan digelar hari ini, Minggu (13/3) bersama Gubernur DKI Jakarta, Basuki Tjahaja Purnama atau Ahok.	Basuki Tjahaja Purnama	Basuki Tjahaja Purnama	Gubernur DKI Jakarta, Bas	None	Bas
1279	Rencananya rangkaian acara itu akan digelar hari ini, Minggu (13/3) bersama Gubernur DKI Jakarta, Basuki Tjahaja Purnama atau Ahok.	Ahok	None	Gubernur DKI Jakarta, Basuki Tj	None	Basuki Tjahaja Purnama
786	Jenderal Badrodin menghadiri pemakaman 13 prajurit TNI yang gugur dalam kecelakaan jatuhnya helikopter di Poso, Sulawesi Tengah.	Badrodin	Jenderal Badrodin Haiti	Jenderal Badrodin Hutapea	None	Jenderal Badrodin Hutomo
786	Jenderal Badrodin menghadiri pemakaman 13 prajurit TNI yang gugur dalam kecelakaan jatuhnya helikopter di Poso, Sulawesi Tengah.	TNI	None	Tentara Nasional Indonesia	None	Tentara Nasional Indonesia
786	Jenderal Badrodin menghadiri pemakaman 13 prajurit TNI yang gugur dalam kecelakaan jatuhnya helikopter di Poso, Sulawesi Tengah.	Poso	None	Poso, Sulawesi Tengah	None	Poso
786	Jenderal Badrodin menghadiri pemakaman 13 prajurit TNI yang gugur dalam kecelakaan jatuhnya helikopter di Poso, Sulawesi Tengah.	Sulawesi Tengah	Provinsi Sulawesi Tengah	Sulawesi Tengah	None	Sulawesi Tengah
325	PDIP sebelumnya mengirim sinyal kuat menginginkan sejumlah kursi menteri digeser.	PDIP	Partai Demokrasi Indonesia Perjuangan	Partai Demokrat Indonesia	None	Partai Demokrasi Indonesia Perjuangan
1992	Tapi semangat dan dukungan dari kawan-kawannya itu tak bisa terus menyalakan semangat di dada Morga.	Morga	None	Morga	None	Morga
212	Menurut Saleh, kalangan industri juga tidak bermasalah dengan lokasi Patimban, meskipun sebelumnya direncanakan adalah Cilamaya, Karawang, yang lebih dekat.	Saleh	None	Saleh	Saleh Misbach	Saleh
212	Menurut Saleh, kalangan industri juga tidak bermasalah dengan lokasi Patimban, meskipun sebelumnya direncanakan adalah Cilamaya, Karawang, yang lebih dekat.	Patimban	None	Lokasi Patimban	None	Patimban
212	Menurut Saleh, kalangan industri juga tidak bermasalah dengan lokasi Patimban, meskipun sebelumnya direncanakan adalah Cilamaya, Karawang, yang lebih dekat.	Cilamaya	None	Lokasi Cilamaya, Karawang	None	Cilamaya
212	Menurut Saleh, kalangan industri juga tidak bermasalah dengan lokasi Patimban, meskipun sebelumnya direncanakan adalah Cilamaya, Karawang, yang lebih dekat.	Karawang	None	Kabupaten Karawang	None	Karawang
1048	Selama ini iklan promosi pariwisata Korea telah memperlihatkan daya tarik wisata yang berbeda setiap tahunnya, salah satunya yang dibintangi oleh bintang Korean Wave, Lee Min Ho.	Korea	Korea Selatan	Korea Selatan	None	Korea Selatan
1048	Selama ini iklan promosi pariwisata Korea telah memperlihatkan daya tarik wisata yang berbeda setiap tahunnya, salah satunya yang dibintangi oleh bintang Korean Wave, Lee Min Ho.	Lee Min Ho	Lee Min	Bintang Korean Wave Lee Min Ho	None	Lee
1342	Puluhan orang dikabarkan hilang dan ratusa lainnya luka-luka dalam aksi yang berpangkal dari intervensi pemerintahan Soeharto terhadap pengangkatan Megawati Soekarnoputri sebagai Ketum DPP PDI.	Soeharto	None	Soeharto	None	Soeharto
1342	Puluhan orang dikabarkan hilang dan ratusa lainnya luka-luka dalam aksi yang berpangkal dari intervensi pemerintahan Soeharto terhadap pengangkatan Megawati Soekarnoputri sebagai Ketum DPP PDI.	Megawati Soekarnoputri	Megawati Soekarnoputri	Ketua Umum Demokratik Partai	None	Megawati Soekarnoputri
1342	Puluhan orang dikabarkan hilang dan ratusa lainnya luka-luka dalam aksi yang berpangkal dari intervensi pemerintahan Soeharto terhadap pengangkatan Megawati Soekarnoputri sebagai Ketum DPP PDI.	PDI	Partai Demokrasi Indonesia	Demokrasi Indonesia	None	Partai Demokrasi Indonesia
1834	Wolfsburg-Real Madrid tunduk 0-2 ketika bertamu ke markas Wolfsburg, Kamis (7/4/2016) dini hari WIB, menguak sebuah catatan buruk tersendiri untuk kubu El Real.	Wolfsburg	VfL Wolfsburg	Wolfsburger Sport-	None	Wolfsburg Football Club
1834	Wolfsburg-Real Madrid tunduk 0-2 ketika bertamu ke markas Wolfsburg, Kamis (7/4/2016) dini hari WIB, menguak sebuah catatan buruk tersendiri untuk kubu El Real.	Real Madrid	Real Madrid Club de F	Real Madrid Club de Fútbol	None	Real Madrid C.F
1834	Wolfsburg-Real Madrid tunduk 0-2 ketika bertamu ke markas Wolfsburg, Kamis (7/4/2016) dini hari WIB, menguak sebuah catatan buruk tersendiri untuk kubu El Real.	Wolfsburg	VfL Wolfsburg	Wolfsburger Sport-	None	Wolfsburg Football Club
1834	Wolfsburg-Real Madrid tunduk 0-2 ketika bertamu ke markas Wolfsburg, Kamis (7/4/2016) dini hari WIB, menguak sebuah catatan buruk tersendiri untuk kubu El Real.	El Real	Real Madrid	Real Madrid Club de Fútbol	None	Real Madrid C.F
1693	Menghadapi mantan klub tak akan jadi alasan bagi Klopp untuk menahan emosinya.	Klopp	None	Jürgen Klopp	None	None
963	"Karena itu pimpinan DPR mengimbau kepada pimpinan Alat Kelengkapan Dewan dan anggota dewan yang terlibat dalam pembahasan RUU memprioritaskan kualitas UU tersebut," imbuh politisi Golkar itu.	DPR	Dewan Perwakilan Rakyat	Dew	None	Dewan Perwakilan Rakyat
963	"Karena itu pimpinan DPR mengimbau kepada pimpinan Alat Kelengkapan Dewan dan anggota dewan yang terlibat dalam pembahasan RUU memprioritaskan kualitas UU tersebut," imbuh politisi Golkar itu.	Golkar	Golongan Karya	Partai Golongan Karya	None	Golongan Karya
1837	Sejak membuat debut Premier League pada September 2013, Christian Eriksen sudah menciptakan 250 peluang bikin gol untuk rekan-rekan satu timnya, sebuah pencapaian yang cuma dilewati Mesut Oezil (266) dalam kurun waktu sama.	Christian Eriksen	Christian Eriksen	Christian Eriksen	None	Christian Eriksen
1837	Sejak membuat debut Premier League pada September 2013, Christian Eriksen sudah menciptakan 250 peluang bikin gol untuk rekan-rekan satu timnya, sebuah pencapaian yang cuma dilewati Mesut Oezil (266) dalam kurun waktu sama.	Mesut Oezil	Mesut 	Mesut Oezil	Mesut Oezil	Mesut Oezil
789	City sebenarnya juga membuat kesalahan fatal yang berujung gol lawan.	City	None	None	None	City
409	Pada 3 April pasukan Keselamatan Pantai Timur Sabah menemukan Anand 12, tongkang isi batubara yang sempat dibawa kelompok penyandera di sekitar 15 mil dari Pulau Mataking.	Pulau Mataking	None	Pul	None	Pulau Mataking
255	Sebagai catatan, di dua laga tersebut Murray selalu kalah atas Roger Federer.	Murray	None	Andy Murray	None	Murray
255	Sebagai catatan, di dua laga tersebut Murray selalu kalah atas Roger Federer.	Roger Federer	Roger Federer	None	Roger Federer	Roger Federer
1314	Kalau kami sudah lolos dan memastikan kalau kami cetak sejarah barulah kita bicarakan hal itu," tutur Pellegrini.	Pellegrini	None	Pemerintah Lingk	None	Pellegrini
631	Usai memberikan pesan perdana di Pesta Rakyat, Risma-Whisnu ikut mencoba kuliner yang disediakan.	Risma	None	Risma-Whisnu	Risma	Risma Sari Dewi
631	Usai memberikan pesan perdana di Pesta Rakyat, Risma-Whisnu ikut mencoba kuliner yang disediakan.	Whisnu	None	Risma-Whisnu	None	Whisnu
1999	Inilah yang kini tengah terjadi antara Walt Disney dengan pemilik toko pakaian yang di Berkshire, Inggris, Joker ' s Masquerade.	Walt Disney	Walter Elias Disney	Pemilik toko paka	Walt Disney Company	Walt Disney Company
1999	Inilah yang kini tengah terjadi antara Walt Disney dengan pemilik toko pakaian yang di Berkshire, Inggris, Joker ' s Masquerade.	Inggris	Inggris	United Kingdom	None	Walt Disney Company
487	Namun melalui akun Twitter, Samsung kembali membeberkan petunjuk soal Galaxy S III.	Twitter	Situs jejaring sosial	None	None	Samsung
487	Namun melalui akun Twitter, Samsung kembali membeberkan petunjuk soal Galaxy S III.	Samsung	None	Samsung Electronics Indonesia	None	Samsung Electronics Co. Ltd
555	Dengan bekal beberapa produk tablet sekaligus, Samsung agaknya serius menghadapi tantangan besar di pasar tablet.	Samsung	Samsung Electronics	Samsung Electronics Indonesia	None	Samsung Electronics Co. Ltd
999	Dan sangat disayangkan jika hal ini tersendat gara-gara antrean ataupun kemacetan yang terjadi di Selat Bali.	Selat Bali	Selat Bali Strait	Selat Bali	None	Selat Bali
238	Sebelum kembali ke Jakarta, Jokowi sempat meninjau Museum Trikora di Morotai yang mangkrak dan membagikan bantuan di Kabupaten Halmahera Utara.	Jakarta	None	Kota Jakarta	Jakarta	Jakarta
238	Sebelum kembali ke Jakarta, Jokowi sempat meninjau Museum Trikora di Morotai yang mangkrak dan membagikan bantuan di Kabupaten Halmahera Utara.	Jokowi	None	Presiden Joko Widodo	Joko Widodo	Joko Widodo
238	Sebelum kembali ke Jakarta, Jokowi sempat meninjau Museum Trikora di Morotai yang mangkrak dan membagikan bantuan di Kabupaten Halmahera Utara.	Museum Trikora	Museum Trikora	Museum Trikora	None	Museum Trikora
238	Sebelum kembali ke Jakarta, Jokowi sempat meninjau Museum Trikora di Morotai yang mangkrak dan membagikan bantuan di Kabupaten Halmahera Utara.	Morotai	None	Pulau Morotai	None	Morotai
238	Sebelum kembali ke Jakarta, Jokowi sempat meninjau Museum Trikora di Morotai yang mangkrak dan membagikan bantuan di Kabupaten Halmahera Utara.	Kabupaten Halmahera Utara	None	Kabupaten Halmahera Ut	Kabupaten Halmahera Ut	Kab
1876	Dalam waktu tidak terlalu lama mereka akan capai rumusan bersama dalam rangkan perbaikan pelayanan," kata Pratikno.	Pratikno	None	Pratikno Budi Santoso	None	None
1376	"Tadi kan satu pesawat sudah clearance (Pesawat Batik Air) untuk take off, ternyata masih ada pesawat yang posisinya di-towing (ditarik) dari apron mneuju ke hanggar, artinya ada 2 pesawat di runway," lanjut dia.	Batik Air	Batik Air Indonesia	Pesawat Batik Air	Batik Air Indonesia	Batik Air
291	Leicester yang mematok target terhindar dari degradasi secara konsisten menguasai papan atas klasemen Premier League hingga menjadi calon kuat juara.	Leicester	None	Klub Bola Sepak Leicester City	None	Leicester City Football Club
291	Leicester yang mematok target terhindar dari degradasi secara konsisten menguasai papan atas klasemen Premier League hingga menjadi calon kuat juara.	Premier League	Liga Utama Inggris	Liga Primer Inggris	None	Premier League
480	Bisa merebut gim kedua, Marcus/Chris mulai mendapat momentum saat memasuki gim ketiga.	Marcus	None	Marcus	Marcus Wright	Chris
480	Bisa merebut gim kedua, Marcus/Chris mulai mendapat momentum saat memasuki gim ketiga.	Chris	Christiano Ronaldo	Chris	Chris Marcus	Chris
584	Samsung mulai menjual ponsel layar sentuh ke pasar pada 2008 lalu, dengan harga bersaing.	Samsung	Samsung Electronics	Samsung Electronics	None	Samsung Electronics Co. Ltd
544	"Kalau Tsonga beberapa kali salah langkah sehingga beberapa kali pukulan Federer dinyatakan masuk.	Tsonga	Jo	Roger Federer	None	Roger Federer
544	"Kalau Tsonga beberapa kali salah langkah sehingga beberapa kali pukulan Federer dinyatakan masuk.	Federer	Roger Federer	Roger Federer	None	Roger Federer
1925	Ratas dihadiri Gubernur Jakarta Ahok, Menko Kemaritiman Rizal Ramli, Menko Perekonomian Darmin Nasution, Menhub Ignasius Jonan dan Mensesneg Pratikno.	Jakarta	Daerah Khusus Ibukota Jakarta	Pemerintah Provinsi DKI Jakarta	None	Gubernur Jakarta Ahok
1925	Ratas dihadiri Gubernur Jakarta Ahok, Menko Kemaritiman Rizal Ramli, Menko Perekonomian Darmin Nasution, Menhub Ignasius Jonan dan Mensesneg Pratikno.	Ahok	Basuki Tjahaja Purnama	Anwar Haryono Kartawananga	None	Basuki Tjahaja Purnama
1925	Ratas dihadiri Gubernur Jakarta Ahok, Menko Kemaritiman Rizal Ramli, Menko Perekonomian Darmin Nasution, Menhub Ignasius Jonan dan Mensesneg Pratikno.	Rizal Ramli	Rizal Ramli	Menko Kemaritiman Rizal	None	Rizal Ramli
1925	Ratas dihadiri Gubernur Jakarta Ahok, Menko Kemaritiman Rizal Ramli, Menko Perekonomian Darmin Nasution, Menhub Ignasius Jonan dan Mensesneg Pratikno.	Darmin Nasution	Menteri Koordinator Perekonomian	Menko Perekonomian Darmin Nasution	None	Darmin Nasution
1925	Ratas dihadiri Gubernur Jakarta Ahok, Menko Kemaritiman Rizal Ramli, Menko Perekonomian Darmin Nasution, Menhub Ignasius Jonan dan Mensesneg Pratikno.	Ignasius Jonan	Ignasius Jonan	Menhub	None	Ignasius Jonan
1925	Ratas dihadiri Gubernur Jakarta Ahok, Menko Kemaritiman Rizal Ramli, Menko Perekonomian Darmin Nasution, Menhub Ignasius Jonan dan Mensesneg Pratikno.	Pratikno	Menteri Sekretaris Negara	Menteri Sosial Kesehatan Pratik	None	Menko Kemaritiman Rizal Ramli, Menko Perekonomian Darmin Nasution, Menhub Ignasius Jon
1178	Saat ini adalah periode kedua Ledia terpilih sebagai wakil rakyat.	Ledia	None	None	None	Ledia
276	"Itu tentu kita hormati dan PPP sudah sepakat bulat seluruh warga PPP menyelesaikan sengketa selama itu sudah bertahun-tahun terjadi dan satu-satunya cara untuk menyelesaikan sengketa itu dengan muktamar sebagai forum islah," kata Lukman.	PPP	Partai Persatuan Pembangunan	Perserikatan Politik Islam	None	Partai Persatuan Pembangunan
276	"Itu tentu kita hormati dan PPP sudah sepakat bulat seluruh warga PPP menyelesaikan sengketa selama itu sudah bertahun-tahun terjadi dan satu-satunya cara untuk menyelesaikan sengketa itu dengan muktamar sebagai forum islah," kata Lukman.	PPP	Partai Persatuan Pembangunan	Perserikatan Politik Islam	None	Partai Persatuan Pembangunan
276	"Itu tentu kita hormati dan PPP sudah sepakat bulat seluruh warga PPP menyelesaikan sengketa selama itu sudah bertahun-tahun terjadi dan satu-satunya cara untuk menyelesaikan sengketa itu dengan muktamar sebagai forum islah," kata Lukman.	Lukman	None	Lukman Hakim	Lukman Hakim Saifuddin	Lukman Hakim Saifuddin
30	Kala menghadapi Leverkusen, Wolfsburg membuat 5 attempts on target tanpa menghasilkan satu gol pun.	Leverkusen	Bayer Leverkusen	Bayer 04 Leverkusen	None	Bayer Leverkusen
30	Kala menghadapi Leverkusen, Wolfsburg membuat 5 attempts on target tanpa menghasilkan satu gol pun.	Wolfsburg	VfL Wolfsburg	Wolfsburger Sport-Club e.V	None	VfL Wolfsburg
1814	Siku pemain asal Jerman itu mengenai muka Vieirinha, hingga asal Pertugal itu terkapar.	Jerman	None	Germany	None	None
1814	Siku pemain asal Jerman itu mengenai muka Vieirinha, hingga asal Pertugal itu terkapar.	Vieirinha	Vieira da Silva	Vieirinha da Silva	None	Vieirinha
1814	Siku pemain asal Jerman itu mengenai muka Vieirinha, hingga asal Pertugal itu terkapar.	Pertugal	Portugal	Portugal	None	Vieirinha
282	Istana Kepresidenan RI menyambut baik kritik Ketua Umum PDIP Megawati Soekarnoputri pada program BLT.	Istana Kepresidenan RI	Istana Kepresidenan Republik Indonesia	Istana K	None	Ist
282	Istana Kepresidenan RI menyambut baik kritik Ketua Umum PDIP Megawati Soekarnoputri pada program BLT.	PDIP	None	Partai Demokrat Indonesia	Partai Demokrasi Indonesia	Partai Demokrasi Indonesia Perjuangan
282	Istana Kepresidenan RI menyambut baik kritik Ketua Umum PDIP Megawati Soekarnoputri pada program BLT.	Megawati Soekarnoputri	None	Ketua Umum PDIP Megawati	None	Megawati Soekarnoputri
185	Tantangan kian besar karena Sociedad akan berusaha mengeksploitasi fisik Barca setelah melakoni laga tengah pekan di Liga Champions.	Sociedad	None	Sociedad Anónima	Sociedad Deportiva	Sociedad Anónima Deportiva Atlético de Madrid
185	Tantangan kian besar karena Sociedad akan berusaha mengeksploitasi fisik Barca setelah melakoni laga tengah pekan di Liga Champions.	Barca	None	Perserikatan Futbol Klub Barcelona	None	Barcelona
1631	Bersiaplah menyambut perpaduan dunia magical Disney dan kekayaan budaya Tiongkok di theme park senilai US$ 5,5 miliar (Rp 77,5 triliun).	Disney	The Walt Disney Company	Perpaduan dunia magical Disney	Walt Disney	The Walt Disney Company
1631	Bersiaplah menyambut perpaduan dunia magical Disney dan kekayaan budaya Tiongkok di theme park senilai US$ 5,5 miliar (Rp 77,5 triliun).	Tiongkok	None	China	None	Tiongkok
234	Inter Milan sempat memimpin klasemen Serie A pada paruh pertama musim ini, namun sekarang cuma mengincar tiket Liga Champions.	Inter Milan	Internazionale Milano	Inter Milan	None	Inter Milan Football Club
1152	Pada Oktober 2013, Kota Surabaya di bawah kepemimpinannya juga memperoleh penghargaan tingkat Asia-Pasifik, yaitu Future Government Awards 2013 di dua bidang sekaligus, yaitu data center dan inklusi digital menyisihkan 800 kota di seluruh Asia-Pasifik.	Kota Surabaya	Kota Surabaya	Kota Surabaya	None	Kota Surabaya
1152	Pada Oktober 2013, Kota Surabaya di bawah kepemimpinannya juga memperoleh penghargaan tingkat Asia-Pasifik, yaitu Future Government Awards 2013 di dua bidang sekaligus, yaitu data center dan inklusi digital menyisihkan 800 kota di seluruh Asia-Pasifik.	Asia-Pasifik	Asia Pasifik	None	None	Asia-Pasifik Economic Cooperation
1152	Pada Oktober 2013, Kota Surabaya di bawah kepemimpinannya juga memperoleh penghargaan tingkat Asia-Pasifik, yaitu Future Government Awards 2013 di dua bidang sekaligus, yaitu data center dan inklusi digital menyisihkan 800 kota di seluruh Asia-Pasifik.	Asia-Pasifik	Asia Pasifik	None	None	Asia-Pasifik Economic Cooperation
1987	Perundingan Indonesia EFTA sejauh ini sudah berhenti selama 3 tahun.	Indonesia	Republik Indonesia	Negara Republik Indonesia	Indonesia EFTA	None
1987	Perundingan Indonesia EFTA sejauh ini sudah berhenti selama 3 tahun.	EFTA	None	None	Uni Eropa untuk Perdagangan Bebas	European Free Trade Association
1500	Jakarta-Manuel Pellegrini wanti-wanti agar para pemain tak kehilangan fokus meskipun mempunyai keuntungan usai meraih hasil imbang di markas Paris Saint-Germain.	Jakarta	Jakarta	Kota Jakarta	None	Manuel Pellegrini
1500	Jakarta-Manuel Pellegrini wanti-wanti agar para pemain tak kehilangan fokus meskipun mempunyai keuntungan usai meraih hasil imbang di markas Paris Saint-Germain.	Manuel Pellegrini	Manuel Pellegrini	Manuel Pellegrini	None	Manuel Pellegrini
1500	Jakarta-Manuel Pellegrini wanti-wanti agar para pemain tak kehilangan fokus meskipun mempunyai keuntungan usai meraih hasil imbang di markas Paris Saint-Germain.	Paris Saint-Germain	Paris Saint	Perserikatan bola sepak Paris Saint	None	Paris Saint-Germain
1717	Menurutnya, wacana pengusungan Risma ke DKI hanya sebatas omongan sejumlah kader PDIP saja dan mustahil menjadi kenyataan, meski wacana seperti itu boleh saja dimunculkan.	Risma	None	None	None	Risma Sari Dewi Marini
1717	Menurutnya, wacana pengusungan Risma ke DKI hanya sebatas omongan sejumlah kader PDIP saja dan mustahil menjadi kenyataan, meski wacana seperti itu boleh saja dimunculkan.	DKI	Daerah Khusus Ibukota	Dewan Kota Ibu	None	Dewan Kota Jakarta
1717	Menurutnya, wacana pengusungan Risma ke DKI hanya sebatas omongan sejumlah kader PDIP saja dan mustahil menjadi kenyataan, meski wacana seperti itu boleh saja dimunculkan.	PDIP	Partai Demokrasi Indonesia Perjuangan	Partai Demokrat Indonesia	Partai Demokrasi Indonesia	Partai Demokrasi Indonesia Perjuangan
1363	London-Arsene Wenger yakin Arsenal masih bisa finis teratas di Premier League, meski tertinggal jauh dari Leicester City.	London	Kota London	Kota London, Inggris	None	Arsene Wenger
1363	London-Arsene Wenger yakin Arsenal masih bisa finis teratas di Premier League, meski tertinggal jauh dari Leicester City.	Arsene Wenger	Arsene Wenger	Arsene Wenger	None	Arsene Wenger
