sent_id	sentence	entity	uri
524	Wakil Sekretaris Jenderal PKB Jazilul Fawaid mengatakan ada pihak-pihak yang menciptakan opini untuk mengarahkan pemberitaan reshuffle terhadap kader PKB yang menjabat sebagai menteri di Kabinet Kerja.	Jazilul Fawaid	http://www.wikidata.org/entity/Q1257317
524	Wakil Sekretaris Jenderal PKB Jazilul Fawaid mengatakan ada pihak-pihak yang menciptakan opini untuk mengarahkan pemberitaan reshuffle terhadap kader PKB yang menjabat sebagai menteri di Kabinet Kerja.	PKB	http://www.wikidata.org/entity/Q1257317
524	Wakil Sekretaris Jenderal PKB Jazilul Fawaid mengatakan ada pihak-pihak yang menciptakan opini untuk mengarahkan pemberitaan reshuffle terhadap kader PKB yang menjabat sebagai menteri di Kabinet Kerja.	Kabinet Kerja	http://www.wikidata.org/entity/Q18342125
1359	Lawan yang akan dihadapi Djokovic di babak semifinal ini adalah pemenang antara Roger Federer dan Robin Soderling.	Djokovic	http://www.wikidata.org/entity/Q5812
1359	Lawan yang akan dihadapi Djokovic di babak semifinal ini adalah pemenang antara Roger Federer dan Robin Soderling.	Roger Federer	http://www.wikidata.org/entity/Q1426
1359	Lawan yang akan dihadapi Djokovic di babak semifinal ini adalah pemenang antara Roger Federer dan Robin Soderling.	Robin Soderling	http://www.wikidata.org/entity/Q192801
1578	Berdasarkan perintah Gubernur DKI Jakarta Basuki Tjahaja Purnama atau Ahok, Pemprov DKI Jakarta mengambil alih pengelolaan parkir di TIM dari PT Putraja.	DKI Jakarta	http://www.wikidata.org/entity/Q3630
1578	Berdasarkan perintah Gubernur DKI Jakarta Basuki Tjahaja Purnama atau Ahok, Pemprov DKI Jakarta mengambil alih pengelolaan parkir di TIM dari PT Putraja.	Basuki Tjahaja Purnama	http://www.wikidata.org/entity/Q3630
1578	Berdasarkan perintah Gubernur DKI Jakarta Basuki Tjahaja Purnama atau Ahok, Pemprov DKI Jakarta mengambil alih pengelolaan parkir di TIM dari PT Putraja.	Ahok	http://www.wikidata.org/entity/Q3701615
1578	Berdasarkan perintah Gubernur DKI Jakarta Basuki Tjahaja Purnama atau Ahok, Pemprov DKI Jakarta mengambil alih pengelolaan parkir di TIM dari PT Putraja.	DKI Jakarta	http://www.wikidata.org/entity/Q3630
1578	Berdasarkan perintah Gubernur DKI Jakarta Basuki Tjahaja Purnama atau Ahok, Pemprov DKI Jakarta mengambil alih pengelolaan parkir di TIM dari PT Putraja.	TIM	http://www.wikidata.org/entity/Q7680633
1806	Museum Trikora memang letaknya tidak jauh dari Lanud di Morotai.	Museum Trikora	http://www.wikidata.org/entity/Q109354796
1806	Museum Trikora memang letaknya tidak jauh dari Lanud di Morotai.	Morotai	http://www.wikidata.org/entity/Q19146
718	Dari tiga tim teratas, Madrid bisa dikatakan mendapatkan laga paling ringan.4 Tahun 2007 dan KM 23 Tahun 2006 sebagai bentuk penyempurnaan menyesuaikan dengan kondisi terkini, dan berbagai penataan organisasi yang telah dilaksanakan di lingkungan Kementerian Perhubungan.	Madrid	http://www.wikidata.org/entity/Q8682
718	Dari tiga tim teratas, Madrid bisa dikatakan mendapatkan laga paling ringan.4 Tahun 2007 dan KM 23 Tahun 2006 sebagai bentuk penyempurnaan menyesuaikan dengan kondisi terkini, dan berbagai penataan organisasi yang telah dilaksanakan di lingkungan Kementerian Perhubungan.	Kementerian Perhubungan	http://www.wikidata.org/entity/Q6867637
759	Ini termasuk eks-pekerja Ditjen Postel, PT Telkom, Polri, Bappenas, Ditjen Pajak, dan Diknas.	PT Telkom	http://www.wikidata.org/entity/Q2305438
759	Ini termasuk eks-pekerja Ditjen Postel, PT Telkom, Polri, Bappenas, Ditjen Pajak, dan Diknas.	Polri	http://www.wikidata.org/entity/Q3103954
759	Ini termasuk eks-pekerja Ditjen Postel, PT Telkom, Polri, Bappenas, Ditjen Pajak, dan Diknas.	Bappenas	http://www.wikidata.org/entity/Q11047108
759	Ini termasuk eks-pekerja Ditjen Postel, PT Telkom, Polri, Bappenas, Ditjen Pajak, dan Diknas.	Ditjen Pajak	http://www.wikidata.org/entity/Q3909179
934	Anggota Fraksi PDIP lain, Sadar Restuwati, menekankan pemerintah harus mendorong revisi Undang-Undang Nomor 22 Tahun 2009 tentang Lalu Lintas dan Angkutan Jalan (LLAJ).	PDIP	http://www.wikidata.org/entity/Q1186306
934	Anggota Fraksi PDIP lain, Sadar Restuwati, menekankan pemerintah harus mendorong revisi Undang-Undang Nomor 22 Tahun 2009 tentang Lalu Lintas dan Angkutan Jalan (LLAJ).	Sadar Restuwati	http://www.wikidata.org/entity/Q12511438
685	"Dari segi dana, Telkom memang relatif bagus," kata Komisaris Utama Telkom Tanri Abeng di sela-sela acara pelantikan pejabat eselon I di lingkungan Kementerian Negara BUMN di kantornya, Jl.	Telkom	http://www.wikidata.org/entity/Q2305438
685	"Dari segi dana, Telkom memang relatif bagus," kata Komisaris Utama Telkom Tanri Abeng di sela-sela acara pelantikan pejabat eselon I di lingkungan Kementerian Negara BUMN di kantornya, Jl.	Telkom	http://www.wikidata.org/entity/Q2305438
685	"Dari segi dana, Telkom memang relatif bagus," kata Komisaris Utama Telkom Tanri Abeng di sela-sela acara pelantikan pejabat eselon I di lingkungan Kementerian Negara BUMN di kantornya, Jl.	Tanri Abeng	http://www.wikidata.org/entity/Q2305438
685	"Dari segi dana, Telkom memang relatif bagus," kata Komisaris Utama Telkom Tanri Abeng di sela-sela acara pelantikan pejabat eselon I di lingkungan Kementerian Negara BUMN di kantornya, Jl.	Kementerian Negara BUMN	http://www.wikidata.org/entity/Q270791
1550	"Nama-nama potensial adalah seperti yang beredar sebelumnya, yakni Djarot Saiful Hidayat (Wagub DKI), Boy Sadikin (Ketua PDIP DKI), Tri Rismaharini, dan Ganjar Pranowo," kata Prasetio Edi Marsudi.	Djarot Saiful Hidayat	http://www.wikidata.org/entity/Q19745886
1550	"Nama-nama potensial adalah seperti yang beredar sebelumnya, yakni Djarot Saiful Hidayat (Wagub DKI), Boy Sadikin (Ketua PDIP DKI), Tri Rismaharini, dan Ganjar Pranowo," kata Prasetio Edi Marsudi.	DKI	http://www.wikidata.org/entity/Q3630
1550	"Nama-nama potensial adalah seperti yang beredar sebelumnya, yakni Djarot Saiful Hidayat (Wagub DKI), Boy Sadikin (Ketua PDIP DKI), Tri Rismaharini, dan Ganjar Pranowo," kata Prasetio Edi Marsudi.	Boy Sadikin	http://www.wikidata.org/entity/Q31173523
1550	"Nama-nama potensial adalah seperti yang beredar sebelumnya, yakni Djarot Saiful Hidayat (Wagub DKI), Boy Sadikin (Ketua PDIP DKI), Tri Rismaharini, dan Ganjar Pranowo," kata Prasetio Edi Marsudi.	PDIP	http://www.wikidata.org/entity/Q1186306
1550	"Nama-nama potensial adalah seperti yang beredar sebelumnya, yakni Djarot Saiful Hidayat (Wagub DKI), Boy Sadikin (Ketua PDIP DKI), Tri Rismaharini, dan Ganjar Pranowo," kata Prasetio Edi Marsudi.	DKI	http://www.wikidata.org/entity/Q1186306
1550	"Nama-nama potensial adalah seperti yang beredar sebelumnya, yakni Djarot Saiful Hidayat (Wagub DKI), Boy Sadikin (Ketua PDIP DKI), Tri Rismaharini, dan Ganjar Pranowo," kata Prasetio Edi Marsudi.	Tri Rismaharini	http://www.wikidata.org/entity/Q12522317
1550	"Nama-nama potensial adalah seperti yang beredar sebelumnya, yakni Djarot Saiful Hidayat (Wagub DKI), Boy Sadikin (Ketua PDIP DKI), Tri Rismaharini, dan Ganjar Pranowo," kata Prasetio Edi Marsudi.	Ganjar Pranowo	http://www.wikidata.org/entity/Q12483474
1550	"Nama-nama potensial adalah seperti yang beredar sebelumnya, yakni Djarot Saiful Hidayat (Wagub DKI), Boy Sadikin (Ketua PDIP DKI), Tri Rismaharini, dan Ganjar Pranowo," kata Prasetio Edi Marsudi.	Prasetio Edi Marsudi	http://www.wikidata.org/entity/Q25469226
1983	"Saya yakin kader-kader PDIP seluruh indonesia sangat mencintai dan menghormati Bu Mega," jelasnya.	PDIP	http://www.wikidata.org/entity/Q1186306
1983	"Saya yakin kader-kader PDIP seluruh indonesia sangat mencintai dan menghormati Bu Mega," jelasnya.	indonesia	http://www.wikidata.org/entity/Q252
1983	"Saya yakin kader-kader PDIP seluruh indonesia sangat mencintai dan menghormati Bu Mega," jelasnya.	Mega	http://www.wikidata.org/entity/Q76179
652	"Ketum melakukan diskusi itu kan privat, tidak di-sharing ke publik, kalau memang ada, biasanya disharing di internal partai," lanjut Eddy meninggalkan sinyal-sinyal.	Eddy	http://www.wikidata.org/entity/Q25460903
1829	Isu Mendes PDT Marwan Jafar bakal direshuffle memang santer terdengar beberapa hari terakhir.	Marwan Jafar	http://www.wikidata.org/entity/Q17410695
2109	Banjir di Jakarta telah membobol dua tembok belakang Gedung PT Telkom, di Jl Gatot Subroto, Jakarta Selatan.	Jakarta	http://www.wikidata.org/entity/Q3630
2109	Banjir di Jakarta telah membobol dua tembok belakang Gedung PT Telkom, di Jl Gatot Subroto, Jakarta Selatan.	PT Telkom	http://www.wikidata.org/entity/Q2305438
2109	Banjir di Jakarta telah membobol dua tembok belakang Gedung PT Telkom, di Jl Gatot Subroto, Jakarta Selatan.	Jl Gatot Subroto	http://www.wikidata.org/entity/Q19726657
2109	Banjir di Jakarta telah membobol dua tembok belakang Gedung PT Telkom, di Jl Gatot Subroto, Jakarta Selatan.	Jakarta Selatan	http://www.wikidata.org/entity/Q10114
1235	Oleh sebab itu, PDIP membantah bila disebut mengincar kursi Mendes.	PDIP	http://www.wikidata.org/entity/Q1186306
944	"Saya tadi ketemu dengan Menkum HAM untuk mengantarkan susunan kepengurusan DPP Golkar hasil Munas Bali yang sudah akomodasi kader Golkar di Ancol untuk mendapatkan pengesahan," kata Sekjen Golkar Idrus Marham di Gedung DPR, Senayan, Jakarta Pusat, Senin (4/4/2016).	Golkar	http://www.wikidata.org/entity/Q1536552
944	"Saya tadi ketemu dengan Menkum HAM untuk mengantarkan susunan kepengurusan DPP Golkar hasil Munas Bali yang sudah akomodasi kader Golkar di Ancol untuk mendapatkan pengesahan," kata Sekjen Golkar Idrus Marham di Gedung DPR, Senayan, Jakarta Pusat, Senin (4/4/2016).	Bali	http://www.wikidata.org/entity/Q3125978
944	"Saya tadi ketemu dengan Menkum HAM untuk mengantarkan susunan kepengurusan DPP Golkar hasil Munas Bali yang sudah akomodasi kader Golkar di Ancol untuk mendapatkan pengesahan," kata Sekjen Golkar Idrus Marham di Gedung DPR, Senayan, Jakarta Pusat, Senin (4/4/2016).	Golkar	http://www.wikidata.org/entity/Q1536552
944	"Saya tadi ketemu dengan Menkum HAM untuk mengantarkan susunan kepengurusan DPP Golkar hasil Munas Bali yang sudah akomodasi kader Golkar di Ancol untuk mendapatkan pengesahan," kata Sekjen Golkar Idrus Marham di Gedung DPR, Senayan, Jakarta Pusat, Senin (4/4/2016).	Ancol	http://www.wikidata.org/entity/Q4753096
944	"Saya tadi ketemu dengan Menkum HAM untuk mengantarkan susunan kepengurusan DPP Golkar hasil Munas Bali yang sudah akomodasi kader Golkar di Ancol untuk mendapatkan pengesahan," kata Sekjen Golkar Idrus Marham di Gedung DPR, Senayan, Jakarta Pusat, Senin (4/4/2016).	Golkar	http://www.wikidata.org/entity/Q1536552
944	"Saya tadi ketemu dengan Menkum HAM untuk mengantarkan susunan kepengurusan DPP Golkar hasil Munas Bali yang sudah akomodasi kader Golkar di Ancol untuk mendapatkan pengesahan," kata Sekjen Golkar Idrus Marham di Gedung DPR, Senayan, Jakarta Pusat, Senin (4/4/2016).	Idrus Marham	http://www.wikidata.org/entity/Q1536552
944	"Saya tadi ketemu dengan Menkum HAM untuk mengantarkan susunan kepengurusan DPP Golkar hasil Munas Bali yang sudah akomodasi kader Golkar di Ancol untuk mendapatkan pengesahan," kata Sekjen Golkar Idrus Marham di Gedung DPR, Senayan, Jakarta Pusat, Senin (4/4/2016).	Gedung DPR	http://www.wikidata.org/entity/Q5205958
944	"Saya tadi ketemu dengan Menkum HAM untuk mengantarkan susunan kepengurusan DPP Golkar hasil Munas Bali yang sudah akomodasi kader Golkar di Ancol untuk mendapatkan pengesahan," kata Sekjen Golkar Idrus Marham di Gedung DPR, Senayan, Jakarta Pusat, Senin (4/4/2016).	Senayan	http://www.wikidata.org/entity/Q7450093
944	"Saya tadi ketemu dengan Menkum HAM untuk mengantarkan susunan kepengurusan DPP Golkar hasil Munas Bali yang sudah akomodasi kader Golkar di Ancol untuk mendapatkan pengesahan," kata Sekjen Golkar Idrus Marham di Gedung DPR, Senayan, Jakarta Pusat, Senin (4/4/2016).	Jakarta Pusat	http://www.wikidata.org/entity/Q10109
694	PT Excelcomindo (10.1 WIB), Terdapat 8 BTS yang tidak berfungsi.	PT Excelcomindo	http://www.wikidata.org/entity/Q3482752
1018	Leuthard memuji BMKG karena punya sistem teknologi yang mutakhir dan tenaga profesional.	Leuthard	http://www.wikidata.org/entity/Q115442
1018	Leuthard memuji BMKG karena punya sistem teknologi yang mutakhir dan tenaga profesional.	BMKG	http://www.wikidata.org/entity/Q2826615
1573	Yang pertama adalah Fernando Torres, yang kedua adalah Fernando Reges.	Fernando Torres	http://www.wikidata.org/entity/Q42731
1573	Yang pertama adalah Fernando Torres, yang kedua adalah Fernando Reges.	Fernando Reges	http://www.wikidata.org/entity/Q973416
223	Menurut Luhut, nantinya Menteri Perhubungan Ignasius Jonan bersama Menteri Komunikasi dan Informatika Rudiantara akan duduk bersama membahas konflik taksi konvensional dengan layanan transportasi online tersebut.	Luhut	http://www.wikidata.org/entity/Q14917375
223	Menurut Luhut, nantinya Menteri Perhubungan Ignasius Jonan bersama Menteri Komunikasi dan Informatika Rudiantara akan duduk bersama membahas konflik taksi konvensional dengan layanan transportasi online tersebut.	Ignasius Jonan	http://www.wikidata.org/entity/Q16182287
223	Menurut Luhut, nantinya Menteri Perhubungan Ignasius Jonan bersama Menteri Komunikasi dan Informatika Rudiantara akan duduk bersama membahas konflik taksi konvensional dengan layanan transportasi online tersebut.	Menteri Komunikasi dan Informatika	http://www.wikidata.org/entity/Q12490742
223	Menurut Luhut, nantinya Menteri Perhubungan Ignasius Jonan bersama Menteri Komunikasi dan Informatika Rudiantara akan duduk bersama membahas konflik taksi konvensional dengan layanan transportasi online tersebut.	Rudiantara	http://www.wikidata.org/entity/Q12490742
209	Dengan perolehan dua gol itu, The Citizens mempunyai peluang lebih besar untuk lolos ke babak semifinal.	The Citizens	http://www.wikidata.org/entity/Q50602
1614	Menghadapi wakil tuan rumah, Iskandar Zulkarnain Zainuddin, Anthony kalah dua gim langsung 16-21, 19-21.	Iskandar Zulkarnain Zainuddin	http://www.wikidata.org/entity/Q13482534
1614	Menghadapi wakil tuan rumah, Iskandar Zulkarnain Zainuddin, Anthony kalah dua gim langsung 16-21, 19-21.	Anthony	http://www.wikidata.org/entity/Q16724324
814	"Kita juga tengah telusuri pengadaan infrastruktur untuk pengembangan Telkom Fleksi yang diperkirakan kerugian negaranya Rp 400 miliar," kata sumber itu.	Telkom	http://www.wikidata.org/entity/Q2305438
1460	Saat akan meninggalkan Morotai, Rabu (6/4/2016), Presiden menyempatkan diri mampir ke Museum Trikora.	Morotai	http://www.wikidata.org/entity/Q19146
1460	Saat akan meninggalkan Morotai, Rabu (6/4/2016), Presiden menyempatkan diri mampir ke Museum Trikora.	Museum Trikora	http://www.wikidata.org/entity/Q109354796
166	Inter kini menempati posisi kelima dengan perolehan 55 poin dari 31 laga.	Inter	http://www.wikidata.org/entity/Q631
450	PKB akan melawan segala bentuk penggiringan berita dan melawan ambisi orang-orang tertentu yang ingin merebut Kemendes," kata Jazilul dalam keterangan tertulis yang diterima detikcom, Selasa (5/4/2016).	PKB	http://www.wikidata.org/entity/Q1257317
450	PKB akan melawan segala bentuk penggiringan berita dan melawan ambisi orang-orang tertentu yang ingin merebut Kemendes," kata Jazilul dalam keterangan tertulis yang diterima detikcom, Selasa (5/4/2016).	Kemendes	http://www.wikidata.org/entity/Q11049125
450	PKB akan melawan segala bentuk penggiringan berita dan melawan ambisi orang-orang tertentu yang ingin merebut Kemendes," kata Jazilul dalam keterangan tertulis yang diterima detikcom, Selasa (5/4/2016).	Jazilul	http://www.wikidata.org/entity/Q96987319
450	PKB akan melawan segala bentuk penggiringan berita dan melawan ambisi orang-orang tertentu yang ingin merebut Kemendes," kata Jazilul dalam keterangan tertulis yang diterima detikcom, Selasa (5/4/2016).	detikcom	http://www.wikidata.org/entity/Q12481355
1234	Namun belum tentu dia bisa segera dilantik menggantikan Fahri Hamzah.	Fahri Hamzah	http://www.wikidata.org/entity/Q16176642
431	Menteri Sekretaris Negara Pratikno meminta kepada semua pihak untuk menahan diri tidak bertindak kasar dan gegabah dalam menyikapi masalah ini.	Pratikno	http://www.wikidata.org/entity/Q12506406
633	Setelah melalui berbagai uji coba, satelit Telkom-2 resmi beroperasi Jumat (24/2/2006).	Telkom-2	http://www.wikidata.org/entity/Q36698
1688	Badrodin menambahkan kepolisian tak akan sungkan untuk menindak tegas sopir pendemo yang anarkis.	Badrodin	http://www.wikidata.org/entity/Q12473234
2084	Perlu dicatat, dua pemain ini mendapatkan sorotan karena gagal menggantikan Kompany yang cedera betis sejak November 2015.	Kompany	http://www.wikidata.org/entity/Q201381
1712	Kesialan-kesialan itu membuat Rabiot menilai bahwa City cuma beruntung saat berhasil menuai hasil imbang saat melakoni leg I babak perempatfinal Liga Champions.	Rabiot	http://www.wikidata.org/entity/Q18962
1712	Kesialan-kesialan itu membuat Rabiot menilai bahwa City cuma beruntung saat berhasil menuai hasil imbang saat melakoni leg I babak perempatfinal Liga Champions.	City	http://www.wikidata.org/entity/Q50602
395	Tapi Kevin/Marcus bangkit dengan merebut tujuh angka secara beruntun untuk berbalik unggul 19-16.	Kevin	http://www.wikidata.org/entity/Q15229725
395	Tapi Kevin/Marcus bangkit dengan merebut tujuh angka secara beruntun untuk berbalik unggul 19-16.	Marcus	http://www.wikidata.org/entity/Q1523130
503	Nitya dibekap cedera lutut usai laga fantastis berdurasi 161 menit pada babak semifinal Kejuaraan Bulutangkis Asia 2016 yang ditutup akhir pekan lalu.	Nitya	http://www.wikidata.org/entity/Q524312
503	Nitya dibekap cedera lutut usai laga fantastis berdurasi 161 menit pada babak semifinal Kejuaraan Bulutangkis Asia 2016 yang ditutup akhir pekan lalu.	Asia	http://www.wikidata.org/entity/Q48
343	saham yang naik signifikan dan masuk dalam jajaran top gainers di antaranya Mayora (MYOR) naik Rp 700 ke Rp 29.85, Indofood CBP (ICBP) naik Rp 300 ke Rp 11.5, Indo Tambangraya (ITMG) naik Rp 250 ke Rp 31.75, Gol itu juga adalah yang ke-48 bagi Ibrahimovic di kompetisi, menyamai Shevchenko yang menduduki urutan keenam daftar pencetak gol terbanyak.	Mayora	http://www.wikidata.org/entity/Q12497654
343	saham yang naik signifikan dan masuk dalam jajaran top gainers di antaranya Mayora (MYOR) naik Rp 700 ke Rp 29.85, Indofood CBP (ICBP) naik Rp 300 ke Rp 11.5, Indo Tambangraya (ITMG) naik Rp 250 ke Rp 31.75, Gol itu juga adalah yang ke-48 bagi Ibrahimovic di kompetisi, menyamai Shevchenko yang menduduki urutan keenam daftar pencetak gol terbanyak.	MYOR	http://www.wikidata.org/entity/Q12497654
343	saham yang naik signifikan dan masuk dalam jajaran top gainers di antaranya Mayora (MYOR) naik Rp 700 ke Rp 29.85, Indofood CBP (ICBP) naik Rp 300 ke Rp 11.5, Indo Tambangraya (ITMG) naik Rp 250 ke Rp 31.75, Gol itu juga adalah yang ke-48 bagi Ibrahimovic di kompetisi, menyamai Shevchenko yang menduduki urutan keenam daftar pencetak gol terbanyak.	Indofood CBP	http://www.wikidata.org/entity/Q105624046
343	saham yang naik signifikan dan masuk dalam jajaran top gainers di antaranya Mayora (MYOR) naik Rp 700 ke Rp 29.85, Indofood CBP (ICBP) naik Rp 300 ke Rp 11.5, Indo Tambangraya (ITMG) naik Rp 250 ke Rp 31.75, Gol itu juga adalah yang ke-48 bagi Ibrahimovic di kompetisi, menyamai Shevchenko yang menduduki urutan keenam daftar pencetak gol terbanyak.	ICBP	http://www.wikidata.org/entity/Q105624046
343	saham yang naik signifikan dan masuk dalam jajaran top gainers di antaranya Mayora (MYOR) naik Rp 700 ke Rp 29.85, Indofood CBP (ICBP) naik Rp 300 ke Rp 11.5, Indo Tambangraya (ITMG) naik Rp 250 ke Rp 31.75, Gol itu juga adalah yang ke-48 bagi Ibrahimovic di kompetisi, menyamai Shevchenko yang menduduki urutan keenam daftar pencetak gol terbanyak.	Indo Tambangraya	http://www.wikidata.org/entity/Q96100347
343	saham yang naik signifikan dan masuk dalam jajaran top gainers di antaranya Mayora (MYOR) naik Rp 700 ke Rp 29.85, Indofood CBP (ICBP) naik Rp 300 ke Rp 11.5, Indo Tambangraya (ITMG) naik Rp 250 ke Rp 31.75, Gol itu juga adalah yang ke-48 bagi Ibrahimovic di kompetisi, menyamai Shevchenko yang menduduki urutan keenam daftar pencetak gol terbanyak.	ITMG	http://www.wikidata.org/entity/Q96100347
343	saham yang naik signifikan dan masuk dalam jajaran top gainers di antaranya Mayora (MYOR) naik Rp 700 ke Rp 29.85, Indofood CBP (ICBP) naik Rp 300 ke Rp 11.5, Indo Tambangraya (ITMG) naik Rp 250 ke Rp 31.75, Gol itu juga adalah yang ke-48 bagi Ibrahimovic di kompetisi, menyamai Shevchenko yang menduduki urutan keenam daftar pencetak gol terbanyak.	Ibrahimovic	http://www.wikidata.org/entity/Q46896
343	saham yang naik signifikan dan masuk dalam jajaran top gainers di antaranya Mayora (MYOR) naik Rp 700 ke Rp 29.85, Indofood CBP (ICBP) naik Rp 300 ke Rp 11.5, Indo Tambangraya (ITMG) naik Rp 250 ke Rp 31.75, Gol itu juga adalah yang ke-48 bagi Ibrahimovic di kompetisi, menyamai Shevchenko yang menduduki urutan keenam daftar pencetak gol terbanyak.	Shevchenko	http://www.wikidata.org/entity/Q41244
2055	Wasekjen PKB Daniel Johan menyebut reshuffle adalah sepenuhnya hak presiden.	PKB	http://www.wikidata.org/entity/Q1257317
2055	Wasekjen PKB Daniel Johan menyebut reshuffle adalah sepenuhnya hak presiden.	Daniel Johan	http://www.wikidata.org/entity/Q1257317
1477	Selain Intel, Toshiba dan Samsung disebut-sebut juga akan mengumumkan produk sejenis pada Januari 2009.	Intel	http://www.wikidata.org/entity/Q248
1477	Selain Intel, Toshiba dan Samsung disebut-sebut juga akan mengumumkan produk sejenis pada Januari 2009.	Toshiba	http://www.wikidata.org/entity/Q49125
1477	Selain Intel, Toshiba dan Samsung disebut-sebut juga akan mengumumkan produk sejenis pada Januari 2009.	Samsung	http://www.wikidata.org/entity/Q20716
1891	Film animasi ' Big Hero 6 ' produksi Walt Disney Animation Studios yang rilis tahun lalu, begitu digemari.	Walt Disney Animation Studios	http://www.wikidata.org/entity/Q1047410
850	Jadi, mereka yang akan tahu seperti apa," tutur pria asal Payakumbuh, Sumatera Barat itu.	Payakumbuh	http://www.wikidata.org/entity/Q7261
850	Jadi, mereka yang akan tahu seperti apa," tutur pria asal Payakumbuh, Sumatera Barat itu.	Sumatera Barat	http://www.wikidata.org/entity/Q2772
392	Sedangkan saham-saham yang turun harganya antara lain, Indofood Sukses Makmur (INDF) turun Rp 10 menjadi Rp 930, International Nickel Indonesia (INCO) turun Rp 75 menjadi Rp 2.2 dan United Tractors (UNTR) turun Rp 50 menjadi Rp 5.7.	Indofood Sukses Makmur	http://www.wikidata.org/entity/Q3930665
392	Sedangkan saham-saham yang turun harganya antara lain, Indofood Sukses Makmur (INDF) turun Rp 10 menjadi Rp 930, International Nickel Indonesia (INCO) turun Rp 75 menjadi Rp 2.2 dan United Tractors (UNTR) turun Rp 50 menjadi Rp 5.7.	INDF	http://www.wikidata.org/entity/Q3930665
392	Sedangkan saham-saham yang turun harganya antara lain, Indofood Sukses Makmur (INDF) turun Rp 10 menjadi Rp 930, International Nickel Indonesia (INCO) turun Rp 75 menjadi Rp 2.2 dan United Tractors (UNTR) turun Rp 50 menjadi Rp 5.7.	International Nickel Indonesia	http://www.wikidata.org/entity/Q65212259
392	Sedangkan saham-saham yang turun harganya antara lain, Indofood Sukses Makmur (INDF) turun Rp 10 menjadi Rp 930, International Nickel Indonesia (INCO) turun Rp 75 menjadi Rp 2.2 dan United Tractors (UNTR) turun Rp 50 menjadi Rp 5.7.	INCO	http://www.wikidata.org/entity/Q65212259
392	Sedangkan saham-saham yang turun harganya antara lain, Indofood Sukses Makmur (INDF) turun Rp 10 menjadi Rp 930, International Nickel Indonesia (INCO) turun Rp 75 menjadi Rp 2.2 dan United Tractors (UNTR) turun Rp 50 menjadi Rp 5.7.	United Tractors	http://www.wikidata.org/entity/Q17058554
