sent_id	uri	mention	final sentence
110	Q12486820	Ismed M. Noor	Setelah itu namanya Ismed M. Noor pun semakin populer dan mendapatkan peran utama di beberapa film berikutnya.
111	Q3580378	A. S. Dharta	a. s. dharta memiliki banyak nama pena, antara lain Klara Akustia, Kelana Asmara, Jogaswara, Rodji, Barmara Poetra, dan masih banyak lagi.
112	Q56398975	Ni Ketut Ayu Sri Wardani	Ni Ketut Ayu Sri Wardani adalah pelukis perempuan asal Bali-Indonesia yang telah berkarya sedari tahun 1985.
113	Q6548664	Lim Chin Siong	Lim Chin Siong masih menjadi anggota parlemen termuda di Singapura yang terpilih.
114	Q119702	Ratu	Para politikus dari golongan Whig semakin berkuasa semasa Perang Suksesi Spanyol berkecamuk, sampai akhirnya banyak yang dipecat Ratu pada tahun 1710.
115	Q3388887	Pio	Pio adalah seorang pemimpin sosialis yang mencurahkan hidupnya untuk pembebasan rakyat Kenya dan menjadi martir pertama dari Kenya independen pada 1965.
116	Q319257	Hans Van Breukelen	Di timnas Belanda, Hans Van Breukelen bermain 73 kali.
117	Q313385	Mikko	Mikko pertama kali aktif di dunia reli sejak tahun 2001.
118	Q468805	Jorge	Jorge pernah bekerja di IBM dan sebagai konsultan bagi Bank Dunia dan Dana Moneter Internasional.
119	Q3185931	Putri	Putri adalah saudara kembar dari Pangeran Vincent dari Denmark.
120	Q658547	Louis	Louis telah memanajeri musisi-musisi seperti Johnny Logan, Boyzone, dan Westlife.
121	Q78457	Ludwig	Penggunanan minyak nabati sebagai bahan bakar utama mesin Ludwig.
122	Q12503826	Paula	Paula memulai kariernya dari modeling dengan menjadi finalis pada pemilihan GADIS Sampul pada tahun 2001.
123	Q2625582	Tamuz	Nama yang diberikan Tamuz berarti "anak yang setia" di dalam bahasa Sumeria.
124	Q356275	Paul	Paul mengkhususkan diri dalam dramatisasi kisah nyata dan dikenal karena pemakaian kamera genggam khasnya.
125	Q5428	Siberia	Siberia berada dalam wilayah Rusia kecuali di daerah ujung barat daya, dan ia meliputi 75% wilayah Rusia.
126	Q722299	Jeffrey	Jeffrey memegang kedua paspor Ghana dan paspor Belanda.
127	Q360531	Mahershala	Mahershala juga pernah terlibat dalam film Predators dan The Place Beyond the Pines.
128	Q53407	Taylor	Taylor lahir di Santa Ana, California, dan anak kandung dari pemain ATP serta finalis Australia Terbuka 1974 Phil Dent.
129	Q210741	Eric	Eric dilahirkan di South Shields, County Durham.
130	Q716816	Takeru	Takeru memegang beberapa rekor, termasuk enam Rekor Guinness, untuk memakan hot dog, bakso, Twinkies, hamburger, pizza dan pasta.
131	Q1313843	Ned	Lomba terbesar yang pernah Ned menangkan adalah Southern 500 pada 1965.
132	Q41617	Liu	Pada 8 Desember 2008, Liu ditahan karena keterlibatannya dengan Petisi 08.
133	Q16174858	Ditta	Ditta meninggal dunia pada tanggal 23 Maret 2012 ketika dalam perawatan di Rumah Sakit Mount Sinai, New York, Amerika Serikat karena penyakit jantung yang dideritanya.
134	Q16182287	Ignasius	Pada 14 Oktober 2016, Ignasius dilantik sebagai Menteri ESDM, sementara Arcandra Tahar diangkat sebagai Wakil Menteri ESDM.
135	Q191014	Isabel	Isabel juga istri ketiga dari mantan Presiden, Juan Perón.
136	Q453613	Alain Iv Dari Bretagne	Alain IV dari Bretagne juga merupakan Comte Nantes dan Comte Rennes.
137	Q341134	Ceska	ceska juga menyediakan berita di Internet.
138	Q76464	Otto Heinrich Warburg	Hadiah Nobel 1931 yang diterimanya Otto Heinrich Warburg ialah pengakuan untuk penelitiannya dalam enzim pernapasan.
139	Q7184595	Aryeh	Aryeh adalah seorang ahli sejarah militer Israel yang betugas di Pusat Pengajian Sejarah Angkatan Bersenjata Israel di Universitas Bar-Ilan, Tel Aviv.
140	Q489930	Yoo	Yoo juga berperan dalam drama tahun 2010 sebagai "Moon Jae-shin" dalam Sungkyunkwan Scandal.
141	Q61119051	Yana	Yana pernah menjabat sebagai Wali Kota Bandung menggantikan Oded Muhammad Danial yang meninggal dunia pada 2021 untuk sisa masa jabatan 2018–2023.
142	Q379550	Edward	Edward pernah terpilih sebagai Perdana Menteri Vanuatu dua kali dengan periode jabatan yang terpisah.
143	Q17410904	Kawanto	Selain itu, kebanggan lain Kawanto adalah keberhasilan Kawanto membalas kekalahannya atas Jotje Waney pada tahun 1969 juga.
144	Q71022	Ernst	Pada tahun 1986, Ernst memenangkan separuh Penghargaan Nobel dalam Fisika untuk penemuannya pada optik elektron; Gerd Karl Binnig dan Heinrich Rohrer memenangkan seperempatnya untuk rancangan scanning tunneling microscope mereka.
145	Q140412	John	John dianggap menjadi perwakilan menonjol dari penyair metafisika.
146	Q190436	Epaminondas	Pada 385 sebelum masehi, Epaminondas berperang di pihak Sparta, tetapi karena Epaminondas tidak mau menyerahkan kota Boeotia kepada Sparta Ia pun berbalik menjadi lawan sparta.
147	Q244345	Arkhelaus	Arkhelaus diproklamasikan sebagai raja oleh tentara, namun menolak untuk menerima gelar itu hingga ia mengajukan klaim kepada Kaisar Augustus di Roma.
148	Q217790	Lawrence	Selain itu Lawrence pernah menjadi anggota dewan penasihat Sunlight Foundation dan Americans Elect.
149	Q77895	Pujie	Pujie merupakan adik dari Kaisar Tiongkok terakhir, Puyi.
150	Q7449	Kevin	Kevin adalah salah satu hacker komputer yang paling kontroversial di akhir abad ke-20 yang merupakan kriminal komputer yang paling dicari di Amerika.
151	Q11109806	Bokir	Bokir terlahir dari pasangan Mak Kinang & Dji'un, serta bersaudara dengan H. Na'ih bin Dji'un, H. Dalih bin Dji'un dan H. Kisam bin Dji'un.
152	Q1142338	Kwan Tak Hing	Kwan Tak Hing berkarier di dunia film sejak tahun 1933 hingga 1994.
153	Q185115	Edgar	Setelah berjuang dengan cedera selama dua tahun, Edgar kembali ke sepak bola kompetitif selama masa singkat bersama Crystal Palace sebelum pensiun pada usia 37 tahun.
154	Q18421322	Ade	Selain mendapat dukungan dari beberapa tokoh didaerah, Ade juga memperoleh dukungan dari sejumlah tokoh Partai Golkar, seperti Akbar Tanjung.
155	Q5597	Raffaello	Bersama Leonardo da Vinci dan Michelangelo, Raffaello merupakan bagian dari tiga maestro besar dari era tersebut.
156	Q4716284	Alessandra Khadijah Usman	Alessandra Khadijah Usman terpilih menjadi Runner-up 2 pada kontes kecantikan Puteri Indonesia 2010 dan mewakili Indonesia pada kontes Miss Asia Pacific World 2011.
157	Q309971	John	Pada 1973, John meninggalkan akademia dan mengambil kedudukan direktur riset di Wellcome Foundation.
158	Q44453	Kurt	Kurt adalah seorang mantan pegulat dan pegulat profesional dan pelatih gulat dan pegulat asal Amerika.
159	Q1054716	Shoko	Shoko juga bekerja dengan artis lain seperti BoA, Ken Hirai, T-ara, Sowelu, Mikuni Shimokawa, Crystal Kay, Beni Arashiro, ISSA di DA PUMP, Lead, dan Miho Kanno.
160	Q269792	Ferrero	Ferrero adalah sebuah perusahaan makanan yang berpusat di Alba, provinsi Cuneo, Italia yang dibentuk oleh Pietro Ferrero pada tahun 1946.
161	Q16297	William	William meraih gelar sarjana dari McGill University, dan kemudian bermain dalam berbagai drama Shakespeare dalam Stratford Festival of Canada di Stratford, Ontario.
162	Q4264920	Sultan Salahuddin Syah	Hoesein Djajadiningrat yakin bahwa kudeta berjalan dulu dan kemudian penyerangan dilakukan oleh Sultan Alauddin al-Qahhar, sedangkan Lombard menempatkan kudeta, dua tahun setelah penyerangan, yang mana Lombard percaya dipimpin oleh Sultan Salahuddin Syah sendiri.
163	Q42827	Paus Gregorius Agung	Paus Gregorius Agung adalah santo pelindung para musisi, penyanyi, pelajar, dan guru.
164	Q212990	Kim	Dilm film Kim menjadi perwakilan resmi pada Academy award untuk film berbahasa asing tersebut sebagai perwakilan Korea.
165	Q3420628	Ray	Ray wafat di Montreal pada 16 Maret 1989.
166	Q76746	Karl	Pada tahun 1896 Karl menikah dengan Martha Mayer Doss, yang juga seorang Yahudi.
167	Q30716445	Manushi	Manushi sebelumnya dimahkotai sebagai Femina Miss India 2017 pada 25 Juni 2017.
168	Q17135	Soong	Soong adalah seorang politikus, pelukis Lukisan Tionghoa dan Ketua Universitas Katolik Fu Jen.
169	Q599675	Nwankwo	Nwankwo pernah membela klub Fed Works, Iwuanyuwu Nationale, Ajax, Inter Milan, Arsenal, dan West Bromwich Albion.
170	Q445643	Lee	Lee dianggap sebagai salah satu pengusaha tersukses di Korea Selatan.
171	Q561231	Hans	Hans merupakan anak dari seorang tukang daging.
172	Q1648403	Martin	Martin kemudian dinyatakan kembali sebagai calon oleh Bozizé, bersama dengan 2 calon lainnya, pada tanggal 4 Januari.
173	Q12486589	Inggit	Inggit meninggal di Bandung pada tanggal 13 April 1984.
174	Q384359	Paul	Pada 1954, Paul lulus dari Harvard, dimana Paul sempat tinggal di Eliot House.
175	Q602993	Kitbuqa	Kitbuqa adalah yang mengomandani tentara Mongol dalam penaklukan disertai pembantaian Baghdad dan sukses memaksa Damaskus menyerah tanpa melalui pertempuran.
176	Q294769	Jan Van Riebeeck	Jan Van Riebeeck mendaratkan tiga kapal Drommedaris, Reijger, dan Goede Hoop di Cape Town pada 6 April 1652 dan berbenteng di tempat sebagai sebuah stasiun jalan untuk jalur perdagangan VOC di antara Belanda dan Hindia Belanda.
177	Q7448779	Selo	Ini memang cara khusus Selo membedakan nama pejabat sesuai daerahnya masing-masing.
178	Q16174926	Otto	Otto merupakan suami dari Ersa Mayori.
179	Q152760	Jean-Baptiste-Gabriel-Joachim	Jean-Baptiste-Gabriel-Joachim menikah Rose Mayor tahun 1963, ia memiliki dua anak, Henri dan Irène.
180	Q6108912	Rima	Rima telah dinominasikan untuk beberapa penghargaan, termasuk enam Piala Citra Festival Film Indonesia dan memenangkan satu diantaranya, sebagai pemeran terbaik untuk perannya di film Intan Berduri.
181	Q6687149	Louis	Louis adalah Profesor Klasik dan Sastra Keluarga Abraham Wouk di Universitas Yeshiva, sebuah institusi dimana ia mengajar sejak 1956.
182	Q472310	Frank	Frank juga salah seorang pendiri Partai Progresif Demokrat.
183	Q251259	Ibnu	Di zamannya nama baik ibnu sebagai pemikir & pelajar telah membuatnya dipuji sebagai Maecenas.
184	Q41654	Mikhael	Mikhael berutang kedudukannya kepada Permaisuri Zoe, putri Kaisar Konstantinos VIII dan istri Romanos III Argyros.
185	Q26326	Duncan	Duncan menjadi tokoh utama historis "Raja Duncan" di dalam drama Macbeth Shakespeare.
186	Q57154	Erich	Setelah perang berakhir, melalui Pengadilan Nuremberg, Erich dihukum seumur hidup, tetapi akhirnya dibebaskan dengan alasan kesehatan.
